,name,label
0,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_639.jpg,1
1,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_611.jpg,1
2,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_177.jpg,1
3,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_163.jpg,1
4,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_605.jpg,1
5,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_836.jpg,1
6,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_188.jpg,1
7,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_822.jpg,1
8,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1223.jpg,1
9,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1237.jpg,1
10,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_349.jpg,1
11,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_70.jpg,1
12,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_64.jpg,1
13,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_375.jpg,1
14,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_413.jpg,1
15,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_407.jpg,1
16,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_58.jpg,1
17,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_361.jpg,1
18,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1009.jpg,1
19,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1021.jpg,1
20,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1035.jpg,1
21,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_229.jpg,1
22,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_201.jpg,1
23,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1196.jpg,1
24,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_567.jpg,1
25,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_573.jpg,1
26,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_215.jpg,1
27,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1182.jpg,1
28,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1169.jpg,1
29,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_598.jpg,1
30,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1155.jpg,1
31,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1141.jpg,1
32,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_759.jpg,1
33,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_981.jpg,1
34,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_995.jpg,1
35,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_765.jpg,1
36,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1394.jpg,1
37,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1380.jpg,1
38,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_771.jpg,1
39,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_942.jpg,1
40,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_956.jpg,1
41,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1419.jpg,1
42,/Users/siddharth/Downloads/study/Food-5K/Food-5K/training/1_1431.jpg,1
